Population,Years,No. of years,Model,a,lambda,lambda 95% C.I.,lambda 95% Lower,lambda 95% Upper,No. parameters,AICc,?AICc,AICc weight,10-fold C.V. error
All Non-Core Areas,1996–2015,19,Gompertz t.i.a,a,0.979,0.731–1.311,0.731,1.311,5,27.846,0,0.627,0.504
All Non-Core Areas,1996–2015,19,Gompertz,,1.25,1.004–1.556,1.004,1.556,3,29.202,1.356,0.318,0.579
All Non-Core Areas,1996–2015,19,Gompertz n.i.,,1.057,0.782–1.429,0.782,1.429,7,32.723,4.878,0.055,0.542
All Non-Core Areas,1996–2015,19,Ricker n.i.,,1.29,0.577–2.886,0.577,2.886,7,54.247,26.401,0,1.241
All Non-Core Areas,1996–2015,19,Ricker,,1.514,0.940–2.439,0.94,2.439,3,55.595,27.75,0,1.152
All Non-Core Areas,1996–2015,19,Ricker t.i.,,1.149,0.583–2.266,0.583,2.266,5,58.429,30.583,0,1.271
All Non-Core Areas,1996–2015,19,Exponential,,1.193,0.720–1.976,0.72,1.976,2,59.367,31.522,0,1.131
All Non-Core Areas,1996–2015,19,Exponential t.i.,,1.175,0.474–2.916,0.474,2.916,4,63.372,35.527,0,1.41
All Non-Core Areas,1996–2015,19,Exponential n.i.,,0.895,0.369–2.168,0.369,2.168,6,70.447,42.602,0,1.62
Blacks Fork,1996–2015,19,Ricker t.i.a,a,0.889,0.722–1.095,0.722,1.095,5,10.953,0,0.547,0.085
Blacks Fork,1996–2015,19,Gompertz t.i.,,0.888,0.716–1.102,0.716,1.102,5,11.984,1.031,0.326,0.082
Blacks Fork,1996–2015,19,Exponential t.i.,,1.007,0.764–1.327,0.764,1.327,4,14.619,3.667,0.087,0.102
Blacks Fork,1996–2015,19,Exponential n.i.,,0.783,0.626–0.980,0.626,0.98,6,18.297,7.345,0.014,0.137
Blacks Fork,1996–2015,19,Gompertz,,1.014,0.855–1.203,0.855,1.203,3,19.743,8.79,0.007,0.144
Blacks Fork,1996–2015,19,Exponential,,1.009,0.845–1.206,0.845,1.206,2,19.807,8.854,0.007,0.146
Blacks Fork,1996–2015,19,Ricker,,1.045,0.874–1.250,0.874,1.25,3,20.139,9.186,0.006,0.144
Blacks Fork,1996–2015,19,Gompertz n.i.,,0.881,0.659–1.178,0.659,1.178,7,21.022,10.07,0.004,0.124
Blacks Fork,1996–2015,19,Ricker n.i.,,0.865,0.653–1.147,0.653,1.147,7,21.356,10.403,0.003,0.151
Buffalo,2000–2015,15,Gompertza,a,0.928,0.761–1.132,0.761,1.132,3,17.619,0,0.569,0.136
Buffalo,2000–2015,15,Ricker,,0.99,0.798–1.228,0.798,1.228,3,19.549,1.93,0.217,0.154
Buffalo,2000–2015,15,Gompertz t.i.,,0.904,0.702–1.164,0.702,1.164,5,20.744,3.125,0.119,0.123
