"Year","MeanCover","LL95","UL95","LL68","UL68"
0,7.28700847303843,7.28700847303843,7.28700847303843,7.28700847303843,7.28700847303843
1,6.64411647287092,4.67679476262929,8.91914704281188,5.66542749061266,7.828490626614
2,6.48290372562431,4.79560155781069,8.67134731082232,5.54955764318318,7.48353941288963
3,7.33559709097,5.85744112843563,9.75647517413699,6.2166440067561,8.42203045826994
4,6.84883010650623,4.97488588617932,9.1055559820768,5.68108432557685,7.91188151705077
5,6.97717081477966,5.22694865924985,9.17518530409414,5.80318429905498,7.94393389075783
6,6.81587152249473,4.9481504487779,8.88239122544982,5.92307430310306,7.80822736219099
7,6.96342718351736,5.05413636427086,8.79941686790714,6.14408297156577,8.04962269155069
8,6.93820014238055,5.32378487974427,8.75257750666536,5.87209983388936,8.05791873141725
9,7.08565920797331,4.91996538198467,9.47865303814961,5.76973547927805,8.18591660966792
10,7.01448401010623,4.89578476807326,9.83408199444436,5.90932536746744,8.12093356970365
11,6.80897946649172,5.14984819721102,8.76129622133196,5.87331648962158,7.87374586468264
12,6.7166655034269,4.8286310529181,9.01391839640419,5.90470944597217,7.58620137076174
13,6.89462220298999,5.00065920797331,9.25463225338154,5.90257652954396,7.70483005067072
14,7.02800429933416,5.07683908206424,9.22042218623934,5.97819846731529,8.04988288502073
15,6.70899984645235,5.39765386172336,8.04545917726378,6.00066723432767,7.48371473638661
16,6.4645575733888,4.74536879353425,8.57169418891944,5.41586342634599,7.33563561747093
17,6.90696966735996,5.19342222811597,9.76530625776462,5.91232987618476,8.4896857856754
18,6.70563017350884,5.12434707352141,9.19535797540446,5.62028950711205,7.61970435098201
19,6.70888650036991,5.30336757911194,8.73634507740197,5.82454696464216,7.48681249040327
20,6.88938008626586,4.99806948729044,9.98377140942783,5.59743994193107,7.97274110470554
21,6.532211225729,4.99943990005444,8.45946376973436,5.45464788732394,7.55479613059925
22,6.76125127374754,5.21292906098633,8.64963462639065,5.57077011125225,7.86003210541744
23,6.40806208908555,4.85152989293541,8.54362288697497,5.38197908960203,7.36015187258337
24,6.75553623026564,5.00823189882606,9.1551473359483,5.82366643867167,8.18128393752006
25,6.61752146177361,5.1265455966722,9.36386325883946,5.41774787476095,7.665754686693
26,6.49132427867502,4.61007412163766,8.47250485070981,5.33712698390541,7.26482055863426
27,6.34407710883737,4.46069808344617,8.02755866218121,5.70916400284761,7.02160108320887
28,6.65622691550692,5.02269364452324,8.60687998157428,5.70384008710339,7.70622593838552
29,6.66968271472243,5.34111273189185,8.67362295676936,5.75790505171764,7.43087926967155
30,6.45557168581359,4.80854422870224,8.27499965102807,5.58810871173523,7.23001381928838
31,6.29682323873868,4.46224333114644,7.69557049930904,5.51358785019333,7.12762378034311
32,6.48617345300744,4.80489886793506,8.60572313963065,5.55361130110694,7.69414145926102
33,6.43985538603275,4.6429884560086,8.35855609374782,5.4201884448415,7.5318187021036
34,6.66591409707003,4.38695193958598,9.44507112047907,5.26253074442692,8.02081603595807
35,6.88789793269029,4.60324753276846,8.71912401066458,5.970859448066,7.7478719691788
36,6.87347841259649,5.39520268289619,8.66503371068831,6.05683887268108,7.83682072614079
37,6.67703625120395,4.99193107106464,8.79546894847778,5.75776434623599,7.6215083962646
38,6.64916372367007,5.09194188919443,8.43413189743017,5.52148243275311,7.88006923603065
39,6.33531512165161,4.93204644118427,7.75210081101076,5.51039908429766,7.35166878376303
40,6.44848392635296,4.99935684473541,8.40591751699493,5.35954382389481,7.68450425047809
41,6.32757492427309,4.5258560281411,9.16230405226204,5.34069654796968,7.28369016876282
42,6.00433562724214,4.30101481036865,7.9764580047181,4.94478817403928,7.16369575231368
43,6.55304038303159,4.63148459637907,8.79513253953852,5.5475470065188,7.88792864222002
44,6.72946635212663,5.3540979773587,8.66809663730649,5.88114071944053,7.70925892321221
45,6.70706151677159,5.03147168441771,8.82030667653094,5.53484945350996,7.67305573779645
46,6.22706989209788,4.44885013749494,8.34830923100546,5.48848141375508,6.97648320049135
47,5.98140705481651,4.41193972556848,8.01641529055403,4.92654001312135,6.99117240609165
48,6.46905456525077,4.58328215078379,8.5839643909044,5.55817864570974,7.43466882563967
