"Year","Ensemble","Proportion","TargetValue","TargetType"
0,1,0.00296848495670029,9.04,"nesting"
0,2,0.00296848495670029,9.04,"nesting"
0,3,0.00296848495670029,9.04,"nesting"
0,4,0.00296848495670029,9.04,"nesting"
0,5,0.00296848495670029,9.04,"nesting"
0,6,0.00296848495670029,9.04,"nesting"
0,7,0.00296848495670029,9.04,"nesting"
0,8,0.00296848495670029,9.04,"nesting"
0,9,0.00296848495670029,9.04,"nesting"
0,10,0.00296848495670029,9.04,"nesting"
0,11,0.00296848495670029,9.04,"nesting"
0,12,0.00296848495670029,9.04,"nesting"
0,13,0.00296848495670029,9.04,"nesting"
0,14,0.00296848495670029,9.04,"nesting"
0,15,0.00296848495670029,9.04,"nesting"
0,16,0.00296848495670029,9.04,"nesting"
0,17,0.00296848495670029,9.04,"nesting"
0,18,0.00296848495670029,9.04,"nesting"
0,19,0.00296848495670029,9.04,"nesting"
0,20,0.00296848495670029,9.04,"nesting"
0,21,0.00296848495670029,9.04,"nesting"
0,22,0.00296848495670029,9.04,"nesting"
0,23,0.00296848495670029,9.04,"nesting"
0,24,0.00296848495670029,9.04,"nesting"
0,25,0.00296848495670029,9.04,"nesting"
0,26,0.00296848495670029,9.04,"nesting"
0,27,0.00296848495670029,9.04,"nesting"
0,28,0.00296848495670029,9.04,"nesting"
0,29,0.00296848495670029,9.04,"nesting"
0,30,0.00296848495670029,9.04,"nesting"
0,31,0.00296848495670029,9.04,"nesting"
0,32,0.00296848495670029,9.04,"nesting"
0,33,0.00296848495670029,9.04,"nesting"
0,34,0.00296848495670029,9.04,"nesting"
0,35,0.00296848495670029,9.04,"nesting"
0,36,0.00296848495670029,9.04,"nesting"
0,37,0.00296848495670029,9.04,"nesting"
0,38,0.00296848495670029,9.04,"nesting"
0,39,0.00296848495670029,9.04,"nesting"
0,40,0.00296848495670029,9.04,"nesting"
0,41,0.00296848495670029,9.04,"nesting"
0,42,0.00296848495670029,9.04,"nesting"
0,43,0.00296848495670029,9.04,"nesting"
0,44,0.00296848495670029,9.04,"nesting"
0,45,0.00296848495670029,9.04,"nesting"
0,46,0.00296848495670029,9.04,"nesting"
0,47,0.00296848495670029,9.04,"nesting"
0,48,0.00296848495670029,9.04,"nesting"
0,49,0.00296848495670029,9.04,"nesting"
0,50,0.00296848495670029,9.04,"nesting"
1,1,0.0257343094366574,9.04,"nesting"
1,2,0.0154896884206767,9.04,"nesting"
1,3,0.0154450495491474,9.04,"nesting"
1,4,0.0110481207035086,9.04,"nesting"
1,5,0.0133023837157397,9.04,"nesting"
1,6,0.0297741273100616,9.04,"nesting"
1,7,0.0433889831265066,9.04,"nesting"
1,8,0.0386126238728685,9.04,"nesting"
1,9,0.0118293009552719,9.04,"nesting"
1,10,0.0407552897062762,9.04,"nesting"
1,11,0.0267163646103027,9.04,"nesting"
1,12,0.0175430765110258,9.04,"nesting"
1,13,0.0577626997589501,9.04,"nesting"
1,14,0.0153557718060887,9.04,"nesting"
1,15,0.0168511740023212,9.04,"nesting"
1,16,0.0324747790375859,9.04,"nesting"
1,17,0.0430541915900366,9.04,"nesting"
1,18,0.0365369163467548,9.04,"nesting"
1,19,0.0128559950004464,9.04,"nesting"
1,20,0.0391259708954558,9.04,"nesting"
1,21,0.00245513793411303,9.04,"nesting"
1,22,0.0463574680832069,9.04,"nesting"
1,23,0.00774484421033836,9.04,"nesting"
