"Year","Ensemble","Proportion","TargetValue","TargetType"
0,1,0.517500357150146,13.32,"nesting"
0,2,0.517500357150146,13.32,"nesting"
0,3,0.517500357150146,13.32,"nesting"
0,4,0.517500357150146,13.32,"nesting"
0,5,0.517500357150146,13.32,"nesting"
0,6,0.517500357150146,13.32,"nesting"
0,7,0.517500357150146,13.32,"nesting"
0,8,0.517500357150146,13.32,"nesting"
0,9,0.517500357150146,13.32,"nesting"
0,10,0.517500357150146,13.32,"nesting"
0,11,0.517500357150146,13.32,"nesting"
0,12,0.517500357150146,13.32,"nesting"
0,13,0.517500357150146,13.32,"nesting"
0,14,0.517500357150146,13.32,"nesting"
0,15,0.517500357150146,13.32,"nesting"
0,16,0.517500357150146,13.32,"nesting"
0,17,0.517500357150146,13.32,"nesting"
0,18,0.517500357150146,13.32,"nesting"
0,19,0.517500357150146,13.32,"nesting"
0,20,0.517500357150146,13.32,"nesting"
0,21,0.517500357150146,13.32,"nesting"
0,22,0.517500357150146,13.32,"nesting"
0,23,0.517500357150146,13.32,"nesting"
0,24,0.517500357150146,13.32,"nesting"
0,25,0.517500357150146,13.32,"nesting"
0,26,0.517500357150146,13.32,"nesting"
0,27,0.517500357150146,13.32,"nesting"
0,28,0.517500357150146,13.32,"nesting"
0,29,0.517500357150146,13.32,"nesting"
0,30,0.517500357150146,13.32,"nesting"
0,31,0.517500357150146,13.32,"nesting"
0,32,0.517500357150146,13.32,"nesting"
0,33,0.517500357150146,13.32,"nesting"
0,34,0.517500357150146,13.32,"nesting"
0,35,0.517500357150146,13.32,"nesting"
0,36,0.517500357150146,13.32,"nesting"
0,37,0.517500357150146,13.32,"nesting"
0,38,0.517500357150146,13.32,"nesting"
0,39,0.517500357150146,13.32,"nesting"
0,40,0.517500357150146,13.32,"nesting"
0,41,0.517500357150146,13.32,"nesting"
0,42,0.517500357150146,13.32,"nesting"
0,43,0.517500357150146,13.32,"nesting"
0,44,0.517500357150146,13.32,"nesting"
0,45,0.517500357150146,13.32,"nesting"
0,46,0.517500357150146,13.32,"nesting"
0,47,0.517500357150146,13.32,"nesting"
0,48,0.517500357150146,13.32,"nesting"
0,49,0.517500357150146,13.32,"nesting"
0,50,0.517500357150146,13.32,"nesting"
1,1,0.516290419921106,13.32,"nesting"
1,2,0.565443026534069,13.32,"nesting"
1,3,0.583140180703396,13.32,"nesting"
1,4,0.461679975976186,13.32,"nesting"
1,5,0.540375459557484,13.32,"nesting"
1,6,0.549250276244705,13.32,"nesting"
1,7,0.539666990288432,13.32,"nesting"
1,8,0.395194654118306,13.32,"nesting"
1,9,0.503596283306073,13.32,"nesting"
1,10,0.49738915954553,13.32,"nesting"
1,11,0.477642400865324,13.32,"nesting"
1,12,0.508771316032689,13.32,"nesting"
1,13,0.619257535868079,13.32,"nesting"
