"Year","Ensemble","Proportion","TargetValue","TargetType"
0,1,0.0859672577029682,9.04,"nesting"
0,2,0.0859672577029682,9.04,"nesting"
0,3,0.0859672577029682,9.04,"nesting"
0,4,0.0859672577029682,9.04,"nesting"
0,5,0.0859672577029682,9.04,"nesting"
0,6,0.0859672577029682,9.04,"nesting"
0,7,0.0859672577029682,9.04,"nesting"
0,8,0.0859672577029682,9.04,"nesting"
0,9,0.0859672577029682,9.04,"nesting"
0,10,0.0859672577029682,9.04,"nesting"
0,11,0.0859672577029682,9.04,"nesting"
0,12,0.0859672577029682,9.04,"nesting"
0,13,0.0859672577029682,9.04,"nesting"
0,14,0.0859672577029682,9.04,"nesting"
0,15,0.0859672577029682,9.04,"nesting"
0,16,0.0859672577029682,9.04,"nesting"
0,17,0.0859672577029682,9.04,"nesting"
0,18,0.0859672577029682,9.04,"nesting"
0,19,0.0859672577029682,9.04,"nesting"
0,20,0.0859672577029682,9.04,"nesting"
0,21,0.0859672577029682,9.04,"nesting"
0,22,0.0859672577029682,9.04,"nesting"
0,23,0.0859672577029682,9.04,"nesting"
0,24,0.0859672577029682,9.04,"nesting"
0,25,0.0859672577029682,9.04,"nesting"
0,26,0.0859672577029682,9.04,"nesting"
0,27,0.0859672577029682,9.04,"nesting"
0,28,0.0859672577029682,9.04,"nesting"
0,29,0.0859672577029682,9.04,"nesting"
0,30,0.0859672577029682,9.04,"nesting"
0,31,0.0859672577029682,9.04,"nesting"
0,32,0.0859672577029682,9.04,"nesting"
0,33,0.0859672577029682,9.04,"nesting"
0,34,0.0859672577029682,9.04,"nesting"
0,35,0.0859672577029682,9.04,"nesting"
0,36,0.0859672577029682,9.04,"nesting"
0,37,0.0859672577029682,9.04,"nesting"
0,38,0.0859672577029682,9.04,"nesting"
0,39,0.0859672577029682,9.04,"nesting"
0,40,0.0859672577029682,9.04,"nesting"
0,41,0.0859672577029682,9.04,"nesting"
0,42,0.0859672577029682,9.04,"nesting"
0,43,0.0859672577029682,9.04,"nesting"
0,44,0.0859672577029682,9.04,"nesting"
0,45,0.0859672577029682,9.04,"nesting"
0,46,0.0859672577029682,9.04,"nesting"
0,47,0.0859672577029682,9.04,"nesting"
0,48,0.0859672577029682,9.04,"nesting"
0,49,0.0859672577029682,9.04,"nesting"
0,50,0.0859672577029682,9.04,"nesting"
1,1,0.14936584129033,9.04,"nesting"
1,2,0.20980828295983,9.04,"nesting"
1,3,0.199156375873733,9.04,"nesting"
1,4,0.156747552395166,9.04,"nesting"
1,5,0.15703567538911,9.04,"nesting"
1,6,0.149167036424509,9.04,"nesting"
1,7,0.199409924108403,9.04,"nesting"
1,8,0.189518661726318,9.04,"nesting"
1,9,0.267075609236071,9.04,"nesting"
1,10,0.19814794539493,9.04,"nesting"
1,11,0.179693667632839,9.04,"nesting"
1,12,0.16123074618093,9.04,"nesting"
1,13,0.120737940612088,9.04,"nesting"
1,14,0.190846908728398,9.04,"nesting"
1,15,0.174072388020998,9.04,"nesting"
1,16,0.113811463837683,9.04,"nesting"
1,17,0.226041132438615,9.04,"nesting"
1,18,0.150936111607323,9.04,"nesting"
1,19,0.119473080668676,9.04,"nesting"
1,20,0.1520741974334,9.04,"nesting"
1,21,0.181160213672012,9.04,"nesting"
1,22,0.290767963028057,9.04,"nesting"
1,23,0.177887136460812,9.04,"nesting"
1,24,0.128257950754018,9.04,"nesting"
1,25,0.166157649377366,9.04,"nesting"
1,26,0.164045707831759,9.04,"nesting"
1,27,0.155632516408605,9.04,"nesting"
1,28,0.103911557765779,9.04,"nesting"
1,29,0.18873784841273,9.04,"nesting"
1,30,0.197035790638308,9.04,"nesting"
1,31,0.259771691339599,9.04,"nesting"
1,32,0.173853414545601,9.04,"nesting"
1,33,0.197341201011888,9.04,"nesting"
1,34,0.221030673573935,9.04,"nesting"
1,35,0.11684539896391,9.04,"nesting"
1,36,0.163241844678656,9.04,"nesting"
1,37,0.199286031221008,9.04,"nesting"
1,38,0.178244408973303,9.04,"nesting"
1,39,0.208946795207938,9.04,"nesting"
1,40,0.325011380858261,9.04,"nesting"
1,41,0.255740850654327,9.04,"nesting"
1,42,0.119202245054369,9.04,"nesting"
1,43,0.192990543803339,9.04,"nesting"
1,44,0.178011029348208,9.04,"nesting"
1,45,0.130006857327256,9.04,"nesting"
1,46,0.222454001164017,9.04,"nesting"
1,47,0.216253594334349,9.04,"nesting"
1,48,0.121619596973556,9.04,"nesting"
1,49,0.2301094291131,9.04,"nesting"
1,50,0.183643833879807,9.04,"nesting"
2,1,0.124607432420752,9.04,"nesting"
2,2,0.13847191088932,9.04,"nesting"
2,3,0.208197675423685,9.04,"nesting"
2,4,0.270754939868731,9.04,"nesting"
2,5,0.136867065813054,9.04,"nesting"
2,6,0.138872401850902,9.04,"nesting"
2,7,0.167687582475207,9.04,"nesting"
2,8,0.187406720180711,9.04,"nesting"
2,9,0.258918847277526,9.04,"nesting"
2,10,0.195004523531005,9.04,"nesting"
2,11,0.22203046036292,9.04,"nesting"
2,12,0.149849887920155,9.04,"nesting"
2,13,0.137100445438149,9.04,"nesting"
2,14,0.22208232250183,9.04,"nesting"
2,15,0.148461135089347,9.04,"nesting"
2,16,0.122561759163752,9.04,"nesting"
2,17,0.219172280262999,9.04,"nesting"
2,18,0.133971429723921,9.04,"nesting"
2,19,0.163097783181685,9.04,"nesting"
2,20,0.246304822602673,9.04,"nesting"
2,21,0.184439053343091,9.04,"nesting"
2,22,0.0969591499219187,9.04,"nesting"
2,23,0.182168644150815,9.04,"nesting"
2,24,0.193797288186381,9.04,"nesting"
2,25,0.197491024968739,9.04,"nesting"
2,26,0.214908059952633,9.04,"nesting"
2,27,0.17232348144776,9.04,"nesting"
2,28,0.121279611840703,9.04,"nesting"
2,29,0.239591556843785,9.04,"nesting"
2,30,0.201991506134139,9.04,"nesting"
2,31,0.221690475230066,9.04,"nesting"
2,32,0.130632084224114,9.04,"nesting"
2,33,0.178071535176936,9.04,"nesting"
2,34,0.220762719189568,9.04,"nesting"
2,35,0.113154543411492,9.04,"nesting"
2,36,0.12073217815221,9.04,"nesting"
2,37,0.147274068354299,9.04,"nesting"
2,38,0.17892149800907,9.04,"nesting"
2,39,0.141615332753246,9.04,"nesting"
2,40,0.273601595048894,9.04,"nesting"
2,41,0.266061416297389,9.04,"nesting"
2,42,0.313705434575912,9.04,"nesting"
2,43,0.121544684995131,9.04,"nesting"
2,44,0.206699435855178,9.04,"nesting"
2,45,0.163374381255871,9.04,"nesting"
2,46,0.270544610083152,9.04,"nesting"
2,47,0.15821409843434,9.04,"nesting"
2,48,0.197980834058443,9.04,"nesting"
2,49,0.288439929236993,9.04,"nesting"
2,50,0.158836444101258,9.04,"nesting"
3,1,0.0994053141405003,9.04,"nesting"
3,2,0.266758673942733,9.04,"nesting"
3,3,0.143525588203092,9.04,"nesting"
3,4,0.227035156767721,9.04,"nesting"
3,5,0.194036430271354,9.04,"nesting"
3,6,0.150486639736771,9.04,"nesting"
3,7,0.170560168724825,9.04,"nesting"
3,8,0.207226700934095,9.04,"nesting"
3,9,0.289972743564773,9.04,"nesting"
3,10,0.167053711888531,9.04,"nesting"
3,11,0.181759509499415,9.04,"nesting"
3,12,0.227104306286267,9.04,"nesting"
3,13,0.293793254464466,9.04,"nesting"
3,14,0.259823553478509,9.04,"nesting"
3,15,0.173118700911045,9.04,"nesting"
3,16,0.18168171629105,9.04,"nesting"
3,17,0.195416539412344,9.04,"nesting"
3,18,0.149083480756265,9.04,"nesting"
3,19,0.22177403089831,9.04,"nesting"
3,20,0.180160426883028,9.04,"nesting"
3,21,0.239649181442574,9.04,"nesting"
3,22,0.142813924408051,9.04,"nesting"
3,23,0.176017218230118,9.04,"nesting"
3,24,0.223502768861972,9.04,"nesting"
3,25,0.16235442585731,9.04,"nesting"
3,26,0.269781084149202,9.04,"nesting"
3,27,0.132064055504014,9.04,"nesting"
3,28,0.154168851599371,9.04,"nesting"
3,29,0.203074848591367,9.04,"nesting"
3,30,0.286944570898425,9.04,"nesting"
3,31,0.258250401931577,9.04,"nesting"
3,32,0.291632332009888,9.04,"nesting"
3,33,0.242902090044198,9.04,"nesting"
3,34,0.257697205783205,9.04,"nesting"
3,35,0.135089346940422,9.04,"nesting"
3,36,0.164368405584976,9.04,"nesting"
3,37,0.264240478975665,9.04,"nesting"
3,38,0.25848954401655,9.04,"nesting"
3,39,0.220566795553686,9.04,"nesting"
3,40,0.189357312849709,9.04,"nesting"
3,41,0.283173040907703,9.04,"nesting"
3,42,0.300106029261771,9.04,"nesting"
3,43,0.11930020687231,9.04,"nesting"
3,44,0.311337063565695,9.04,"nesting"
3,45,0.19768694860462,9.04,"nesting"
3,46,0.211015518304454,9.04,"nesting"
3,47,0.207278563073005,9.04,"nesting"
3,48,0.118043990618715,9.04,"nesting"
3,49,0.204561563240116,9.04,"nesting"
3,50,0.163034396123017,9.04,"nesting"
4,1,0.172461780484853,9.04,"nesting"
4,2,0.243383255444084,9.04,"nesting"
4,3,0.164555685531039,9.04,"nesting"
4,4,0.164515348311887,9.04,"nesting"
4,5,0.22647907938941,9.04,"nesting"
4,6,0.174902182243556,9.04,"nesting"
4,7,0.190031520655537,9.04,"nesting"
4,8,0.131191042832364,9.04,"nesting"
4,9,0.277393293649193,9.04,"nesting"
4,10,0.209557615955099,9.04,"nesting"
4,11,0.230674150181229,9.04,"nesting"
4,12,0.166120193388154,9.04,"nesting"
4,13,0.219843606838887,9.04,"nesting"
4,14,0.248278465111187,9.04,"nesting"
4,15,0.179100134265315,9.04,"nesting"
4,16,0.268314538110028,9.04,"nesting"
4,17,0.207471605478947,9.04,"nesting"
4,18,0.224053083780404,9.04,"nesting"
4,19,0.162141214841792,9.04,"nesting"
4,20,0.193042405942249,9.04,"nesting"
4,21,0.249416550937264,9.04,"nesting"
4,22,0.159352184260417,9.04,"nesting"
4,23,0.192486328563937,9.04,"nesting"
4,24,0.206759941683906,9.04,"nesting"
4,25,0.182620997251307,9.04,"nesting"
4,26,0.213268640117093,9.04,"nesting"
4,27,0.201896425546137,9.04,"nesting"
